All Equal,Two Opposing,Porisitive Dominant,Negative Dominant,50% Moderates,75% Moderates,90% Moderates
0.76,0.63,0.58,0.54,0.8,0.9,0.94
0.75,0.64,0.61,0.59,0.79,0.9,0.94
0.76,0.65,0.56,0.59,0.82,0.89,0.94
0.75,0.59,0.54,0.52,0.81,0.89,0.94
0.77,0.62,0.57,0.57,0.81,0.88,0.94
0.76,0.64,0.51,0.52,0.81,0.89,0.95
0.74,0.63,0.56,0.53,0.8,0.88,0.94
0.75,0.65,0.6,0.53,0.82,0.9,0.94
0.75,0.57,0.52,0.51,0.79,0.88,0.94
0.74,0.64,0.55,0.57,0.8,0.89,0.94
0.74,0.63,0.56,0.51,0.78,0.88,0.94
0.75,0.66,0.51,0.51,0.8,0.88,0.94
0.74,0.65,0.55,0.52,0.81,0.89,0.94
0.75,0.64,0.52,0.51,0.79,0.89,0.95
0.75,0.65,0.59,0.52,0.8,0.88,0.93
0.75,0.63,0.52,0.58,0.81,0.89,0.94
0.74,0.64,0.54,0.54,0.79,0.9,0.95
0.72,0.64,0.52,0.52,0.81,0.91,0.95
0.74,0.64,0.58,0.53,0.81,0.89,0.95
0.75,0.62,0.57,0.56,0.79,0.89,0.95
0.71,0.59,0.51,0.54,0.8,0.89,0.95
0.76,0.65,0.58,0.57,0.81,0.89,0.94
0.76,0.64,0.56,0.52,0.81,0.88,0.94
0.7,0.61,0.57,0.52,0.81,0.88,0.94
0.77,0.64,0.56,0.53,0.79,0.88,0.94
0.76,0.63,0.51,0.52,0.76,0.89,0.94
0.76,0.63,0.53,0.58,0.81,0.89,0.94
0.76,0.65,0.53,0.53,0.8,0.89,0.94
0.76,0.64,0.59,0.56,0.8,0.89,0.94
0.71,0.63,0.59,0.58,0.81,0.89,0.94
0.76,0.63,0.53,0.54,0.81,0.89,0.94
0.72,0.63,0.53,0.53,0.77,0.89,0.94
0.77,0.57,0.54,0.55,0.81,0.89,0.94
0.75,0.6,0.57,0.52,0.79,0.89,0.94
0.76,0.64,0.53,0.54,0.79,0.9,0.94
0.75,0.64,0.56,0.58,0.79,0.89,0.95
0.76,0.65,0.56,0.57,0.8,0.89,0.95
0.76,0.62,0.52,0.6,0.82,0.89,0.95
0.75,0.64,0.57,0.53,0.81,0.89,0.94
0.76,0.63,0.53,0.58,0.81,0.9,0.95
0.75,0.62,0.51,0.51,0.8,0.9,0.94
0.76,0.62,0.51,0.56,0.8,0.88,0.94
0.75,0.66,0.56,0.58,0.82,0.89,0.94
0.76,0.64,0.52,0.52,0.79,0.88,0.94
0.75,0.67,0.59,0.53,0.82,0.9,0.94
0.74,0.63,0.52,0.59,0.81,0.89,0.95
0.74,0.59,0.52,0.55,0.79,0.89,0.94
0.76,0.61,0.59,0.58,0.79,0.89,0.94
0.75,0.63,0.59,0.58,0.8,0.88,0.94
0.76,0.63,0.53,0.57,0.8,0.89,0.95
0.72,0.64,0.56,0.57,0.82,0.89,0.94
0.77,0.65,0.51,0.52,0.8,0.89,0.95
0.71,0.64,0.55,0.55,0.81,0.89,0.94
0.75,0.64,0.56,0.51,0.78,0.87,0.94
0.76,0.64,0.53,0.53,0.81,0.9,0.94
0.74,0.59,0.56,0.56,0.79,0.89,0.95
0.74,0.63,0.55,0.54,0.78,0.89,0.94
0.76,0.66,0.56,0.58,0.81,0.9,0.94
0.75,0.64,0.54,0.52,0.81,0.89,0.94
0.75,0.64,0.55,0.52,0.8,0.89,0.94
0.75,0.64,0.56,0.59,0.81,0.89,0.94
0.76,0.62,0.55,0.52,0.81,0.88,0.94
0.71,0.65,0.56,0.52,0.78,0.89,0.94
0.76,0.62,0.52,0.59,0.81,0.9,0.95
0.76,0.64,0.55,0.61,0.78,0.89,0.94
0.75,0.58,0.53,0.57,0.78,0.89,0.94
0.75,0.65,0.57,0.56,0.79,0.89,0.94
0.76,0.64,0.51,0.51,0.8,0.9,0.94
0.75,0.64,0.57,0.51,0.79,0.88,0.94
0.76,0.64,0.59,0.56,0.78,0.9,0.94
0.74,0.62,0.52,0.52,0.81,0.9,0.94
0.75,0.61,0.57,0.56,0.8,0.89,0.94
0.75,0.6,0.52,0.58,0.8,0.89,0.95
0.74,0.62,0.51,0.51,0.8,0.9,0.94
0.75,0.63,0.57,0.56,0.79,0.9,0.94
0.74,0.62,0.52,0.53,0.79,0.89,0.94
0.75,0.61,0.55,0.52,0.8,0.89,0.94
0.71,0.62,0.58,0.59,0.77,0.9,0.94
0.76,0.59,0.58,0.6,0.81,0.88,0.94
0.76,0.65,0.57,0.57,0.79,0.89,0.94
0.76,0.63,0.57,0.54,0.81,0.9,0.94
0.77,0.64,0.51,0.6,0.81,0.89,0.95
0.75,0.63,0.52,0.54,0.81,0.88,0.94
0.73,0.58,0.57,0.52,0.8,0.89,0.95
0.76,0.64,0.57,0.53,0.81,0.89,0.94
0.76,0.65,0.58,0.54,0.79,0.89,0.95
0.74,0.64,0.56,0.55,0.78,0.88,0.94
0.73,0.64,0.53,0.56,0.82,0.89,0.94
0.77,0.62,0.52,0.53,0.8,0.89,0.95
0.73,0.63,0.52,0.52,0.79,0.89,0.94
0.7,0.64,0.57,0.53,0.81,0.89,0.94
0.75,0.64,0.54,0.51,0.8,0.87,0.94
0.75,0.65,0.56,0.57,0.78,0.9,0.95
0.7,0.64,0.54,0.57,0.81,0.88,0.95
0.76,0.62,0.52,0.57,0.79,0.9,0.94
0.75,0.62,0.52,0.57,0.78,0.88,0.94
0.74,0.63,0.57,0.57,0.8,0.9,0.94
0.75,0.62,0.53,0.53,0.8,0.88,0.94
0.77,0.64,0.55,0.53,0.81,0.89,0.94
0.77,0.64,0.52,0.61,0.82,0.9,0.94
0.75,0.65,0.53,0.56,0.79,0.9,0.94
0.75,0.64,0.58,0.59,0.81,0.89,0.95
0.76,0.63,0.55,0.56,0.82,0.88,0.94
0.76,0.63,0.58,0.59,0.8,0.9,0.95
0.75,0.64,0.54,0.53,0.8,0.89,0.94
0.77,0.58,0.51,0.56,0.81,0.88,0.95
0.75,0.63,0.55,0.53,0.79,0.89,0.93
0.77,0.64,0.57,0.57,0.81,0.9,0.94
0.73,0.62,0.51,0.52,0.8,0.89,0.94
0.74,0.62,0.56,0.56,0.78,0.88,0.94
0.74,0.65,0.53,0.57,0.79,0.9,0.94
0.73,0.62,0.55,0.55,0.8,0.88,0.94
0.75,0.63,0.56,0.6,0.81,0.89,0.93
0.76,0.63,0.52,0.52,0.8,0.89,0.95
0.76,0.62,0.51,0.52,0.8,0.89,0.94
0.76,0.63,0.54,0.58,0.81,0.89,0.94
0.76,0.64,0.51,0.55,0.82,0.89,0.95
0.76,0.65,0.56,0.52,0.79,0.9,0.94
0.75,0.62,0.57,0.59,0.77,0.89,0.94
0.75,0.63,0.57,0.52,0.81,0.9,0.94
0.7,0.64,0.56,0.56,0.8,0.89,0.94
0.76,0.65,0.55,0.54,0.81,0.9,0.94
0.75,0.64,0.52,0.56,0.8,0.89,0.94
0.75,0.63,0.56,0.53,0.8,0.89,0.94
0.73,0.62,0.53,0.53,0.79,0.89,0.94
0.74,0.62,0.56,0.54,0.8,0.89,0.94
0.75,0.64,0.56,0.58,0.8,0.9,0.94
0.75,0.61,0.52,0.6,0.81,0.89,0.94
0.76,0.63,0.57,0.58,0.79,0.88,0.94
0.75,0.64,0.58,0.57,0.81,0.89,0.94
0.73,0.65,0.56,0.52,0.82,0.9,0.95
0.76,0.66,0.52,0.56,0.78,0.88,0.94
0.75,0.64,0.57,0.58,0.8,0.9,0.95
0.75,0.64,0.51,0.57,0.8,0.9,0.94
0.7,0.61,0.53,0.55,0.79,0.89,0.95
0.75,0.64,0.58,0.55,0.81,0.89,0.94
0.75,0.65,0.57,0.57,0.78,0.88,0.95
0.75,0.62,0.58,0.51,0.78,0.89,0.95
0.73,0.63,0.56,0.53,0.8,0.89,0.94
0.74,0.63,0.56,0.57,0.79,0.89,0.94
0.75,0.62,0.52,0.55,0.77,0.89,0.94
0.74,0.63,0.59,0.55,0.79,0.88,0.94
0.73,0.63,0.51,0.56,0.8,0.89,0.95
0.71,0.61,0.54,0.53,0.77,0.9,0.95
0.75,0.63,0.51,0.51,0.79,0.89,0.95
0.73,0.6,0.55,0.58,0.81,0.89,0.95
0.74,0.63,0.52,0.52,0.79,0.88,0.94
0.75,0.62,0.59,0.56,0.79,0.88,0.94
0.75,0.59,0.53,0.56,0.8,0.88,0.94
0.76,0.63,0.56,0.57,0.79,0.89,0.94
0.73,0.63,0.56,0.58,0.77,0.9,0.94
0.72,0.62,0.52,0.56,0.81,0.88,0.94
0.76,0.63,0.6,0.54,0.81,0.89,0.94
0.73,0.62,0.52,0.55,0.8,0.89,0.95
0.77,0.64,0.56,0.51,0.82,0.9,0.94
0.76,0.56,0.51,0.51,0.81,0.89,0.94
0.75,0.64,0.56,0.58,0.81,0.9,0.94
0.75,0.61,0.51,0.51,0.8,0.89,0.94
0.78,0.66,0.51,0.57,0.8,0.89,0.95
0.74,0.63,0.52,0.55,0.8,0.88,0.94
0.76,0.64,0.52,0.52,0.79,0.9,0.94
0.74,0.63,0.59,0.55,0.79,0.9,0.94
0.76,0.64,0.55,0.53,0.8,0.89,0.94
0.74,0.63,0.53,0.57,0.8,0.88,0.95
0.75,0.64,0.58,0.54,0.81,0.89,0.94
0.76,0.6,0.52,0.55,0.81,0.89,0.94
0.76,0.62,0.51,0.51,0.78,0.88,0.94
0.76,0.64,0.56,0.55,0.79,0.89,0.95
0.76,0.65,0.5,0.52,0.8,0.87,0.94
0.75,0.64,0.55,0.55,0.79,0.9,0.94
0.75,0.63,0.57,0.52,0.8,0.89,0.94
0.74,0.63,0.58,0.59,0.79,0.89,0.94
0.76,0.63,0.52,0.51,0.78,0.9,0.94
0.77,0.64,0.52,0.56,0.81,0.88,0.94
0.75,0.64,0.6,0.52,0.8,0.88,0.94
0.76,0.64,0.57,0.54,0.78,0.9,0.95
0.76,0.64,0.53,0.51,0.81,0.89,0.94
0.76,0.63,0.57,0.53,0.8,0.89,0.94
0.75,0.64,0.52,0.55,0.8,0.89,0.94
0.76,0.64,0.52,0.56,0.79,0.9,0.94
0.72,0.58,0.56,0.53,0.79,0.89,0.94
0.77,0.58,0.55,0.55,0.8,0.89,0.94
0.73,0.64,0.56,0.57,0.81,0.89,0.94
0.75,0.64,0.55,0.55,0.79,0.88,0.94
0.74,0.64,0.58,0.5,0.8,0.9,0.94
0.74,0.63,0.57,0.56,0.79,0.89,0.94
0.73,0.63,0.59,0.51,0.78,0.89,0.94
0.75,0.63,0.55,0.53,0.79,0.88,0.94
0.71,0.63,0.56,0.56,0.8,0.89,0.94
0.76,0.63,0.56,0.52,0.78,0.89,0.93
0.75,0.63,0.53,0.54,0.79,0.89,0.94
0.75,0.64,0.53,0.54,0.81,0.9,0.94
0.76,0.63,0.51,0.51,0.8,0.89,0.94
0.75,0.65,0.57,0.54,0.8,0.89,0.94
0.76,0.65,0.57,0.54,0.81,0.9,0.94
0.74,0.62,0.55,0.53,0.79,0.89,0.95
0.74,0.61,0.58,0.53,0.79,0.88,0.94
0.71,0.63,0.51,0.52,0.78,0.89,0.94
0.74,0.64,0.52,0.54,0.8,0.89,0.94
0.75,0.65,0.54,0.55,0.8,0.89,0.94
0.74,0.62,0.55,0.57,0.8,0.89,0.94
0.75,0.63,0.51,0.51,0.8,0.89,0.95
0.75,0.64,0.51,0.58,0.78,0.88,0.94
0.75,0.64,0.54,0.53,0.81,0.9,0.94
0.71,0.63,0.52,0.52,0.81,0.9,0.94
0.75,0.64,0.51,0.51,0.79,0.89,0.95
0.76,0.64,0.51,0.58,0.8,0.89,0.94
0.74,0.62,0.51,0.5,0.79,0.89,0.94
0.77,0.59,0.59,0.58,0.81,0.9,0.94
0.75,0.63,0.57,0.58,0.81,0.89,0.94
0.76,0.58,0.58,0.52,0.8,0.9,0.94
0.76,0.58,0.52,0.51,0.78,0.89,0.94
0.74,0.63,0.59,0.53,0.75,0.87,0.94
0.75,0.64,0.52,0.56,0.81,0.89,0.94
0.74,0.62,0.55,0.53,0.8,0.89,0.94
0.74,0.61,0.57,0.52,0.77,0.89,0.94
0.76,0.64,0.56,0.51,0.79,0.89,0.94
0.75,0.61,0.57,0.52,0.8,0.89,0.94
0.73,0.62,0.56,0.55,0.8,0.88,0.94
0.71,0.65,0.58,0.58,0.82,0.88,0.95
0.76,0.64,0.54,0.52,0.81,0.89,0.94
0.75,0.6,0.52,0.58,0.8,0.88,0.94
0.75,0.64,0.55,0.56,0.82,0.9,0.94
0.74,0.58,0.55,0.57,0.8,0.89,0.94
0.74,0.62,0.53,0.51,0.78,0.89,0.94
0.74,0.63,0.5,0.52,0.8,0.88,0.94
0.75,0.63,0.59,0.53,0.78,0.89,0.95
0.75,0.64,0.52,0.59,0.8,0.88,0.94
0.75,0.62,0.56,0.51,0.8,0.89,0.94
0.76,0.57,0.57,0.52,0.81,0.89,0.94
0.75,0.63,0.55,0.55,0.8,0.9,0.94
0.75,0.61,0.57,0.54,0.77,0.91,0.94
0.76,0.65,0.56,0.52,0.8,0.88,0.94
0.74,0.64,0.51,0.58,0.8,0.89,0.95
0.74,0.63,0.55,0.51,0.8,0.88,0.94
0.77,0.6,0.52,0.55,0.81,0.9,0.94
0.76,0.65,0.52,0.55,0.82,0.88,0.94
0.74,0.62,0.53,0.52,0.8,0.89,0.94
0.74,0.66,0.54,0.54,0.79,0.88,0.94
0.76,0.63,0.56,0.53,0.8,0.89,0.94
0.76,0.64,0.59,0.56,0.8,0.9,0.95
0.75,0.63,0.53,0.53,0.81,0.89,0.94
0.76,0.62,0.52,0.52,0.78,0.87,0.93
0.74,0.62,0.55,0.57,0.8,0.89,0.94
0.75,0.65,0.55,0.58,0.78,0.89,0.94
0.75,0.64,0.51,0.57,0.81,0.89,0.94
0.73,0.64,0.51,0.58,0.8,0.88,0.94
0.75,0.62,0.55,0.59,0.8,0.87,0.94
0.74,0.63,0.51,0.52,0.79,0.89,0.94
0.72,0.66,0.57,0.57,0.81,0.89,0.94
0.75,0.64,0.53,0.53,0.8,0.89,0.95
0.76,0.64,0.56,0.56,0.81,0.89,0.94
0.75,0.63,0.56,0.51,0.8,0.89,0.94
0.73,0.63,0.58,0.57,0.77,0.87,0.94
0.74,0.61,0.55,0.52,0.8,0.89,0.95
0.75,0.65,0.52,0.51,0.79,0.89,0.94
0.7,0.65,0.58,0.52,0.8,0.89,0.94
0.74,0.64,0.53,0.55,0.79,0.89,0.93
0.77,0.66,0.52,0.52,0.81,0.89,0.93
0.71,0.62,0.51,0.53,0.81,0.9,0.95
0.74,0.64,0.52,0.53,0.8,0.89,0.94
0.76,0.62,0.57,0.57,0.79,0.9,0.95
0.7,0.56,0.57,0.56,0.78,0.88,0.95
0.74,0.64,0.55,0.57,0.8,0.89,0.94
0.75,0.64,0.56,0.52,0.78,0.89,0.95
0.74,0.62,0.56,0.56,0.79,0.88,0.95
0.79,0.64,0.51,0.55,0.82,0.89,0.96
0.77,0.64,0.53,0.56,0.8,0.9,0.95
0.75,0.6,0.52,0.52,0.82,0.9,0.94
0.75,0.64,0.54,0.53,0.81,0.89,0.94
0.75,0.63,0.54,0.52,0.8,0.88,0.94
0.76,0.64,0.58,0.56,0.79,0.88,0.94
0.76,0.65,0.58,0.55,0.8,0.89,0.95
0.73,0.62,0.55,0.56,0.81,0.89,0.94
0.72,0.64,0.57,0.52,0.79,0.88,0.94
0.76,0.63,0.54,0.59,0.81,0.9,0.94
0.76,0.62,0.59,0.52,0.82,0.89,0.94
0.77,0.64,0.54,0.52,0.79,0.9,0.94
0.76,0.63,0.55,0.55,0.78,0.9,0.95
0.75,0.63,0.55,0.56,0.81,0.88,0.94
0.74,0.61,0.6,0.57,0.78,0.9,0.95
0.74,0.63,0.53,0.56,0.81,0.88,0.94
0.76,0.62,0.57,0.57,0.8,0.88,0.94
0.74,0.64,0.56,0.52,0.8,0.89,0.94
0.75,0.62,0.58,0.53,0.81,0.9,0.94
0.74,0.64,0.52,0.52,0.79,0.88,0.94
0.74,0.63,0.55,0.57,0.79,0.89,0.95
0.75,0.64,0.58,0.53,0.77,0.89,0.95
0.76,0.65,0.53,0.54,0.81,0.89,0.96
0.73,0.65,0.57,0.56,0.81,0.89,0.94
0.77,0.64,0.6,0.6,0.81,0.9,0.95
0.76,0.65,0.57,0.59,0.78,0.88,0.94
0.72,0.61,0.57,0.55,0.79,0.89,0.94
0.75,0.59,0.54,0.57,0.78,0.88,0.94
0.75,0.62,0.56,0.52,0.8,0.9,0.94
0.76,0.63,0.51,0.53,0.81,0.9,0.94
0.72,0.65,0.56,0.52,0.79,0.89,0.94
0.76,0.64,0.52,0.55,0.81,0.89,0.94
0.77,0.64,0.55,0.51,0.8,0.89,0.94
0.73,0.62,0.55,0.53,0.81,0.9,0.94
0.77,0.65,0.57,0.51,0.81,0.89,0.94
0.75,0.61,0.52,0.57,0.8,0.9,0.94
0.75,0.65,0.58,0.53,0.77,0.88,0.94
0.75,0.64,0.56,0.52,0.8,0.89,0.93
0.71,0.57,0.56,0.57,0.8,0.89,0.94
0.76,0.63,0.58,0.56,0.81,0.88,0.94
0.77,0.62,0.58,0.56,0.82,0.9,0.95
0.76,0.64,0.56,0.56,0.81,0.89,0.94
0.74,0.58,0.57,0.53,0.78,0.88,0.95
0.76,0.64,0.54,0.53,0.81,0.9,0.95
0.75,0.64,0.53,0.53,0.81,0.89,0.94
0.75,0.63,0.57,0.53,0.81,0.89,0.94
0.75,0.62,0.51,0.51,0.8,0.89,0.94
0.76,0.62,0.57,0.57,0.82,0.88,0.93
0.77,0.66,0.51,0.52,0.81,0.89,0.94
0.71,0.61,0.55,0.55,0.8,0.89,0.95
0.74,0.64,0.59,0.55,0.81,0.9,0.94
0.76,0.65,0.55,0.52,0.81,0.9,0.95
0.75,0.61,0.54,0.52,0.78,0.89,0.94
0.76,0.64,0.53,0.53,0.8,0.9,0.94
0.72,0.61,0.57,0.49,0.77,0.87,0.94
0.76,0.55,0.57,0.56,0.78,0.89,0.94
0.74,0.63,0.56,0.56,0.79,0.9,0.94
0.77,0.65,0.56,0.52,0.82,0.88,0.94
0.75,0.63,0.58,0.59,0.8,0.89,0.95
0.75,0.63,0.52,0.56,0.8,0.87,0.94
0.76,0.64,0.52,0.52,0.79,0.89,0.94
0.72,0.68,0.55,0.54,0.8,0.89,0.94
0.76,0.64,0.56,0.57,0.81,0.89,0.94
0.73,0.63,0.52,0.58,0.8,0.88,0.94
0.71,0.63,0.56,0.54,0.8,0.9,0.95
0.75,0.62,0.56,0.58,0.81,0.9,0.95
0.75,0.64,0.57,0.56,0.8,0.88,0.94
0.77,0.65,0.56,0.51,0.81,0.88,0.94
0.74,0.63,0.56,0.51,0.79,0.89,0.94
0.73,0.63,0.51,0.51,0.79,0.9,0.95
0.73,0.65,0.54,0.54,0.8,0.89,0.94
0.76,0.65,0.54,0.58,0.81,0.9,0.94
0.76,0.62,0.54,0.58,0.81,0.89,0.94
0.75,0.57,0.58,0.53,0.78,0.88,0.94
0.73,0.64,0.54,0.54,0.81,0.89,0.95
0.76,0.65,0.56,0.57,0.81,0.9,0.94
0.76,0.63,0.57,0.53,0.8,0.89,0.94
0.76,0.64,0.51,0.58,0.81,0.89,0.94
0.76,0.64,0.51,0.5,0.81,0.88,0.94
0.73,0.64,0.56,0.57,0.79,0.9,0.95
0.75,0.63,0.57,0.53,0.81,0.89,0.95
0.76,0.63,0.6,0.53,0.8,0.89,0.94
0.74,0.62,0.56,0.54,0.79,0.89,0.94
0.76,0.64,0.52,0.59,0.82,0.9,0.95
0.73,0.63,0.53,0.55,0.8,0.9,0.94
0.74,0.63,0.55,0.56,0.79,0.89,0.94
0.75,0.62,0.55,0.56,0.8,0.89,0.94
0.73,0.59,0.53,0.56,0.79,0.89,0.94
0.75,0.64,0.54,0.54,0.81,0.89,0.94
0.71,0.58,0.53,0.58,0.81,0.88,0.94
0.75,0.63,0.5,0.52,0.78,0.88,0.94
0.75,0.63,0.57,0.54,0.8,0.89,0.94
0.72,0.63,0.56,0.56,0.79,0.89,0.95
0.74,0.64,0.54,0.53,0.8,0.89,0.94
0.74,0.62,0.5,0.6,0.79,0.88,0.95
0.73,0.63,0.52,0.53,0.78,0.89,0.95
0.75,0.63,0.52,0.52,0.81,0.89,0.94
0.76,0.64,0.51,0.51,0.82,0.9,0.95
0.77,0.65,0.52,0.53,0.8,0.88,0.94
0.76,0.64,0.57,0.52,0.81,0.89,0.94
0.71,0.63,0.56,0.58,0.78,0.89,0.94
0.74,0.64,0.54,0.58,0.78,0.89,0.94
0.73,0.63,0.57,0.57,0.81,0.9,0.94
0.76,0.63,0.56,0.53,0.77,0.91,0.94
0.73,0.63,0.54,0.55,0.77,0.89,0.94
0.76,0.65,0.57,0.62,0.81,0.89,0.95
0.75,0.61,0.59,0.52,0.81,0.91,0.95
0.74,0.64,0.57,0.51,0.82,0.9,0.95
0.74,0.62,0.56,0.56,0.8,0.88,0.95
0.74,0.62,0.56,0.56,0.8,0.89,0.94
0.76,0.65,0.53,0.53,0.78,0.89,0.94
0.75,0.65,0.52,0.57,0.79,0.89,0.94
0.75,0.63,0.58,0.57,0.81,0.89,0.95
0.75,0.63,0.57,0.61,0.8,0.89,0.95
0.72,0.63,0.56,0.58,0.77,0.88,0.94
0.75,0.63,0.55,0.58,0.8,0.89,0.95
0.76,0.64,0.52,0.52,0.8,0.89,0.94
0.76,0.63,0.57,0.52,0.8,0.89,0.94
0.76,0.63,0.53,0.55,0.81,0.89,0.94
0.75,0.64,0.56,0.52,0.78,0.88,0.94
0.72,0.63,0.53,0.58,0.8,0.9,0.93
0.72,0.61,0.52,0.51,0.81,0.89,0.94
0.76,0.58,0.57,0.52,0.81,0.88,0.94
0.74,0.64,0.57,0.52,0.79,0.89,0.94
0.75,0.64,0.52,0.53,0.79,0.89,0.95
0.72,0.63,0.55,0.6,0.79,0.9,0.94
0.76,0.65,0.56,0.56,0.78,0.9,0.94
0.75,0.63,0.52,0.52,0.8,0.89,0.94
0.74,0.61,0.52,0.53,0.78,0.89,0.94
0.76,0.64,0.57,0.59,0.8,0.88,0.93
0.77,0.56,0.53,0.6,0.81,0.89,0.95
0.76,0.62,0.56,0.57,0.81,0.89,0.95
0.75,0.63,0.54,0.54,0.78,0.88,0.94
0.74,0.62,0.52,0.52,0.78,0.88,0.94
0.75,0.63,0.55,0.55,0.79,0.89,0.94
0.74,0.62,0.56,0.56,0.79,0.89,0.95
0.74,0.62,0.59,0.59,0.79,0.89,0.95
0.75,0.64,0.51,0.51,0.81,0.89,0.94
0.75,0.63,0.57,0.54,0.81,0.88,0.94
0.75,0.63,0.52,0.57,0.79,0.88,0.94
0.75,0.64,0.52,0.57,0.8,0.9,0.95
0.76,0.64,0.53,0.52,0.81,0.89,0.93
0.76,0.65,0.6,0.58,0.81,0.89,0.94
0.73,0.6,0.56,0.51,0.77,0.88,0.94
0.75,0.64,0.55,0.51,0.79,0.89,0.94
0.77,0.65,0.58,0.52,0.79,0.89,0.94
0.74,0.63,0.57,0.56,0.77,0.89,0.95
0.76,0.57,0.57,0.53,0.79,0.9,0.94
0.73,0.57,0.52,0.54,0.79,0.88,0.94
0.75,0.64,0.56,0.53,0.79,0.89,0.94
0.71,0.63,0.57,0.53,0.79,0.89,0.94
0.76,0.63,0.5,0.58,0.79,0.89,0.94
0.72,0.63,0.6,0.58,0.79,0.89,0.94
0.75,0.56,0.54,0.51,0.8,0.89,0.94
0.76,0.62,0.54,0.52,0.8,0.89,0.94
0.76,0.62,0.56,0.56,0.83,0.89,0.94
0.76,0.64,0.56,0.57,0.8,0.89,0.95
0.74,0.63,0.58,0.55,0.79,0.89,0.95
0.75,0.64,0.56,0.58,0.8,0.88,0.95
0.74,0.63,0.56,0.56,0.8,0.87,0.94
0.74,0.6,0.51,0.55,0.79,0.87,0.94
0.72,0.65,0.56,0.52,0.78,0.89,0.94
0.7,0.63,0.55,0.58,0.78,0.88,0.94
0.77,0.65,0.55,0.57,0.8,0.89,0.94
0.76,0.64,0.55,0.53,0.81,0.89,0.94
0.72,0.62,0.56,0.58,0.83,0.9,0.93
0.74,0.64,0.55,0.54,0.81,0.88,0.94
0.74,0.64,0.61,0.53,0.8,0.9,0.94
0.73,0.64,0.57,0.59,0.79,0.88,0.93
0.72,0.63,0.59,0.57,0.81,0.9,0.95
0.77,0.66,0.51,0.57,0.82,0.89,0.93
0.75,0.64,0.55,0.56,0.79,0.9,0.95
0.75,0.62,0.57,0.58,0.8,0.89,0.94
0.69,0.58,0.52,0.52,0.79,0.89,0.94
0.75,0.65,0.56,0.52,0.81,0.89,0.94
0.75,0.6,0.56,0.53,0.81,0.89,0.94
0.77,0.65,0.57,0.53,0.81,0.88,0.94
0.73,0.63,0.57,0.56,0.79,0.88,0.94
0.74,0.65,0.59,0.52,0.81,0.89,0.95
