Alpha_0.2,Alpha_0.4,Alpha_0.6,Alpha_0.8
0.6,0.63,0.66,0.69
0.58,0.59,0.65,0.7
0.59,0.6,0.64,0.71
0.62,0.63,0.66,0.7
0.61,0.65,0.64,0.71
0.55,0.6,0.64,0.7
0.59,0.54,0.67,0.71
0.57,0.59,0.66,0.7
0.62,0.63,0.66,0.7
0.6,0.63,0.63,0.69
0.6,0.63,0.67,0.72
0.63,0.62,0.65,0.69
0.53,0.58,0.63,0.7
0.58,0.61,0.64,0.67
0.54,0.58,0.64,0.69
0.57,0.6,0.64,0.68
0.54,0.63,0.63,0.69
0.48,0.61,0.67,0.7
0.58,0.6,0.65,0.69
0.59,0.64,0.66,0.7
0.61,0.63,0.66,0.7
0.59,0.61,0.64,0.69
0.58,0.61,0.65,0.68
0.61,0.63,0.65,0.69
0.59,0.63,0.64,0.69
0.54,0.56,0.64,0.7
0.57,0.62,0.65,0.69
0.59,0.62,0.65,0.7
0.56,0.61,0.65,0.71
0.58,0.61,0.64,0.7
0.61,0.62,0.66,0.7
0.56,0.63,0.65,0.7
0.59,0.61,0.65,0.69
0.61,0.58,0.64,0.69
0.59,0.62,0.64,0.7
0.57,0.61,0.65,0.69
0.6,0.62,0.64,0.69
0.57,0.6,0.64,0.71
0.59,0.63,0.62,0.69
0.6,0.62,0.64,0.69
0.6,0.61,0.65,0.69
0.58,0.62,0.64,0.68
0.57,0.61,0.63,0.71
0.57,0.62,0.65,0.76
0.6,0.63,0.63,0.7
0.59,0.53,0.65,0.7
0.62,0.64,0.66,0.71
0.63,0.63,0.65,0.71
0.57,0.54,0.66,0.7
0.61,0.61,0.66,0.7
0.57,0.6,0.63,0.68
0.61,0.62,0.66,0.7
0.59,0.62,0.64,0.69
0.57,0.61,0.63,0.68
0.55,0.61,0.64,0.68
0.6,0.62,0.64,0.68
0.61,0.63,0.66,0.71
0.59,0.64,0.67,0.71
0.59,0.62,0.66,0.7
0.58,0.64,0.66,0.7
0.55,0.61,0.64,0.7
0.55,0.59,0.62,0.7
0.56,0.62,0.65,0.69
0.55,0.61,0.63,0.68
0.47,0.63,0.66,0.69
0.6,0.61,0.64,0.7
0.61,0.63,0.64,0.7
0.59,0.62,0.65,0.69
0.6,0.62,0.65,0.68
0.57,0.62,0.64,0.7
0.61,0.64,0.66,0.7
0.6,0.62,0.66,0.71
0.6,0.63,0.63,0.72
0.61,0.64,0.67,0.72
0.61,0.64,0.65,0.7
0.63,0.65,0.66,0.7
0.57,0.62,0.65,0.69
0.59,0.62,0.64,0.68
0.57,0.61,0.65,0.7
0.61,0.63,0.66,0.7
0.6,0.62,0.66,0.7
0.54,0.59,0.63,0.66
0.56,0.61,0.64,0.68
0.6,0.62,0.65,0.69
0.58,0.62,0.64,0.69
0.59,0.62,0.66,0.72
0.59,0.62,0.65,0.71
0.57,0.61,0.65,0.7
0.58,0.6,0.64,0.7
0.59,0.54,0.67,0.71
0.59,0.61,0.64,0.68
0.54,0.56,0.64,0.7
0.57,0.61,0.64,0.68
0.56,0.56,0.63,0.7
0.62,0.64,0.66,0.7
0.56,0.52,0.63,0.68
0.43,0.62,0.66,0.7
0.59,0.62,0.64,0.68
0.56,0.62,0.65,0.69
0.59,0.63,0.66,0.7
0.6,0.62,0.64,0.69
0.57,0.6,0.64,0.68
0.59,0.61,0.65,0.7
0.58,0.52,0.62,0.67
0.59,0.6,0.64,0.7
0.59,0.63,0.65,0.69
0.57,0.63,0.64,0.7
0.6,0.63,0.65,0.68
0.44,0.6,0.63,0.67
0.54,0.49,0.63,0.67
0.46,0.61,0.65,0.7
0.53,0.6,0.65,0.7
0.57,0.59,0.64,0.69
0.57,0.54,0.67,0.71
0.59,0.61,0.64,0.69
0.59,0.62,0.66,0.7
0.59,0.62,0.65,0.71
0.58,0.58,0.63,0.69
0.63,0.63,0.63,0.71
0.61,0.63,0.67,0.72
0.6,0.61,0.65,0.68
0.59,0.61,0.64,0.69
0.58,0.62,0.63,0.68
0.55,0.55,0.62,0.68
0.56,0.62,0.65,0.7
0.59,0.63,0.63,0.7
0.56,0.6,0.64,0.7
0.59,0.63,0.65,0.7
0.56,0.63,0.64,0.69
0.55,0.63,0.66,0.7
0.58,0.61,0.64,0.69
0.59,0.61,0.61,0.7
0.6,0.62,0.65,0.69
0.46,0.62,0.65,0.7
0.62,0.53,0.68,0.72
0.61,0.64,0.66,0.7
0.59,0.63,0.65,0.7
0.6,0.62,0.63,0.69
0.61,0.63,0.62,0.7
0.58,0.62,0.65,0.69
0.6,0.55,0.63,0.7
0.42,0.62,0.64,0.68
0.59,0.63,0.65,0.7
0.6,0.62,0.64,0.69
0.6,0.62,0.66,0.69
0.62,0.65,0.66,0.7
0.58,0.52,0.64,0.69
0.55,0.61,0.65,0.71
0.56,0.61,0.65,0.69
0.52,0.62,0.65,0.69
0.61,0.62,0.65,0.68
0.58,0.58,0.64,0.69
0.59,0.62,0.62,0.69
0.58,0.62,0.66,0.7
0.56,0.62,0.65,0.7
0.6,0.63,0.65,0.7
0.57,0.61,0.64,0.68
0.6,0.61,0.65,0.7
0.54,0.6,0.64,0.7
0.6,0.62,0.65,0.69
0.58,0.64,0.64,0.72
0.59,0.61,0.65,0.71
0.6,0.59,0.66,0.7
0.58,0.63,0.63,0.71
0.57,0.64,0.66,0.69
0.6,0.62,0.66,0.69
0.58,0.63,0.65,0.7
0.6,0.62,0.63,0.69
0.56,0.59,0.64,0.68
0.6,0.6,0.65,0.69
0.41,0.63,0.66,0.7
0.57,0.61,0.65,0.69
0.59,0.62,0.65,0.69
0.6,0.62,0.65,0.69
0.57,0.61,0.62,0.69
0.6,0.61,0.65,0.68
0.56,0.54,0.62,0.69
0.61,0.63,0.65,0.69
0.56,0.6,0.63,0.68
0.61,0.63,0.66,0.7
0.56,0.6,0.62,0.69
0.58,0.61,0.65,0.69
0.6,0.64,0.65,0.7
0.64,0.57,0.66,0.72
0.47,0.64,0.67,0.7
0.53,0.63,0.66,0.71
0.56,0.61,0.64,0.69
0.53,0.62,0.66,0.7
0.52,0.61,0.65,0.69
0.58,0.61,0.64,0.69
0.57,0.61,0.65,0.69
0.57,0.55,0.63,0.69
0.57,0.61,0.64,0.69
0.56,0.62,0.65,0.7
0.58,0.61,0.65,0.69
0.59,0.61,0.64,0.69
0.58,0.59,0.63,0.68
0.58,0.51,0.64,0.69
0.6,0.62,0.66,0.69
0.58,0.61,0.64,0.7
0.57,0.53,0.65,0.72
0.57,0.62,0.65,0.69
0.59,0.63,0.65,0.71
0.59,0.64,0.67,0.71
0.57,0.62,0.65,0.69
0.6,0.62,0.66,0.72
0.54,0.6,0.63,0.69
0.62,0.61,0.66,0.69
0.6,0.63,0.66,0.7
0.57,0.6,0.64,0.68
0.56,0.61,0.65,0.69
0.55,0.63,0.66,0.71
0.58,0.61,0.62,0.7
0.56,0.62,0.65,0.68
0.55,0.62,0.66,0.71
0.42,0.61,0.66,0.7
0.61,0.63,0.63,0.71
0.58,0.61,0.65,0.7
0.6,0.62,0.65,0.69
0.58,0.61,0.65,0.69
0.56,0.62,0.66,0.7
0.57,0.56,0.64,0.69
0.58,0.62,0.66,0.72
0.61,0.64,0.67,0.72
0.54,0.55,0.64,0.69
0.59,0.62,0.65,0.71
0.6,0.62,0.65,0.7
0.58,0.58,0.65,0.7
0.57,0.6,0.63,0.68
0.59,0.62,0.66,0.69
0.61,0.51,0.66,0.7
0.51,0.6,0.65,0.71
0.62,0.64,0.66,0.7
0.61,0.62,0.67,0.71
0.61,0.64,0.67,0.7
0.54,0.62,0.65,0.68
0.55,0.52,0.65,0.69
0.59,0.62,0.65,0.7
0.58,0.61,0.65,0.7
0.56,0.57,0.64,0.7
0.63,0.66,0.68,0.71
0.61,0.63,0.66,0.7
0.61,0.63,0.65,0.7
0.59,0.63,0.66,0.7
0.59,0.61,0.64,0.69
0.56,0.61,0.63,0.69
0.59,0.61,0.65,0.7
0.58,0.62,0.65,0.71
0.59,0.61,0.64,0.69
0.59,0.62,0.64,0.69
0.61,0.63,0.65,0.7
0.61,0.62,0.66,0.69
0.53,0.61,0.64,0.7
0.58,0.62,0.64,0.68
0.59,0.62,0.65,0.7
0.57,0.62,0.65,0.69
0.57,0.52,0.62,0.69
0.6,0.49,0.66,0.7
0.6,0.63,0.66,0.7
0.52,0.53,0.62,0.68
0.6,0.63,0.66,0.71
0.5,0.61,0.61,0.72
0.59,0.63,0.63,0.7
0.6,0.62,0.66,0.7
0.6,0.65,0.68,0.72
0.58,0.62,0.64,0.68
0.6,0.63,0.64,0.7
0.54,0.62,0.64,0.68
0.55,0.61,0.64,0.68
0.59,0.61,0.64,0.68
0.61,0.62,0.65,0.69
0.61,0.59,0.66,0.72
0.58,0.61,0.64,0.68
0.58,0.6,0.64,0.68
0.59,0.6,0.63,0.67
0.61,0.55,0.67,0.71
0.58,0.6,0.65,0.7
0.6,0.62,0.64,0.68
0.6,0.62,0.65,0.69
0.58,0.62,0.65,0.71
0.62,0.65,0.66,0.72
0.6,0.62,0.65,0.71
0.57,0.6,0.64,0.68
0.58,0.61,0.66,0.7
0.58,0.62,0.65,0.7
0.6,0.63,0.64,0.7
0.59,0.62,0.65,0.69
0.61,0.63,0.66,0.71
0.59,0.61,0.65,0.69
0.61,0.63,0.66,0.7
0.61,0.64,0.65,0.71
0.58,0.6,0.66,0.71
0.55,0.6,0.63,0.69
0.59,0.64,0.66,0.7
0.4,0.61,0.64,0.69
0.6,0.63,0.65,0.74
0.56,0.62,0.65,0.7
0.61,0.62,0.66,0.71
0.59,0.62,0.67,0.7
0.56,0.61,0.62,0.69
0.59,0.62,0.64,0.69
0.59,0.62,0.64,0.7
0.59,0.61,0.65,0.68
0.62,0.6,0.65,0.71
0.59,0.61,0.64,0.68
0.61,0.64,0.66,0.71
0.57,0.6,0.65,0.69
0.58,0.63,0.65,0.71
0.57,0.62,0.65,0.71
0.59,0.62,0.66,0.68
0.59,0.62,0.65,0.69
0.62,0.62,0.66,0.71
0.59,0.62,0.65,0.7
0.61,0.63,0.67,0.73
0.54,0.61,0.64,0.68
0.6,0.62,0.66,0.71
0.57,0.63,0.65,0.71
0.6,0.63,0.65,0.7
0.57,0.61,0.62,0.69
0.61,0.64,0.66,0.69
0.62,0.64,0.66,0.7
0.43,0.64,0.67,0.7
0.42,0.62,0.64,0.69
0.59,0.61,0.64,0.69
0.6,0.6,0.65,0.7
0.56,0.63,0.65,0.7
0.56,0.61,0.66,0.7
0.58,0.52,0.64,0.69
0.57,0.62,0.65,0.69
0.6,0.64,0.67,0.71
0.58,0.61,0.64,0.69
0.56,0.6,0.64,0.7
0.6,0.51,0.65,0.7
0.57,0.59,0.64,0.71
0.6,0.63,0.67,0.72
0.59,0.63,0.65,0.69
0.59,0.61,0.64,0.69
0.57,0.62,0.64,0.73
0.56,0.6,0.63,0.68
0.6,0.61,0.65,0.71
0.6,0.5,0.65,0.7
0.59,0.61,0.64,0.69
0.61,0.6,0.64,0.7
0.58,0.58,0.63,0.69
0.59,0.62,0.63,0.68
0.6,0.62,0.65,0.68
0.53,0.53,0.65,0.69
0.58,0.62,0.64,0.68
0.6,0.63,0.67,0.7
0.58,0.62,0.65,0.7
0.55,0.63,0.64,0.69
0.57,0.63,0.66,0.71
0.58,0.62,0.64,0.69
0.61,0.63,0.66,0.7
0.56,0.62,0.65,0.69
0.57,0.53,0.65,0.69
0.56,0.6,0.63,0.68
0.59,0.6,0.65,0.69
0.6,0.63,0.66,0.71
0.58,0.62,0.66,0.7
0.6,0.55,0.64,0.68
0.58,0.51,0.64,0.67
0.59,0.61,0.63,0.73
0.61,0.64,0.66,0.73
0.6,0.62,0.66,0.7
0.6,0.62,0.64,0.67
0.61,0.64,0.66,0.71
0.57,0.63,0.64,0.69
0.58,0.63,0.64,0.68
0.56,0.61,0.63,0.68
0.57,0.61,0.64,0.68
0.62,0.54,0.67,0.71
0.57,0.61,0.66,0.71
0.61,0.64,0.66,0.7
0.59,0.63,0.66,0.71
0.56,0.61,0.66,0.7
0.6,0.63,0.66,0.71
0.58,0.63,0.66,0.7
0.62,0.64,0.65,0.68
0.54,0.59,0.65,0.71
0.6,0.63,0.66,0.7
0.59,0.65,0.66,0.71
0.59,0.61,0.65,0.71
0.44,0.63,0.66,0.7
0.39,0.54,0.63,0.68
0.59,0.61,0.64,0.7
0.6,0.63,0.65,0.7
0.58,0.62,0.65,0.7
0.57,0.62,0.64,0.7
0.57,0.61,0.64,0.68
0.58,0.63,0.66,0.7
0.56,0.59,0.64,0.68
0.57,0.62,0.66,0.71
0.59,0.63,0.65,0.7
0.54,0.6,0.66,0.69
0.53,0.6,0.63,0.68
0.58,0.49,0.66,0.7
0.54,0.58,0.64,0.69
0.57,0.62,0.65,0.71
0.6,0.61,0.65,0.71
0.6,0.61,0.65,0.7
0.58,0.62,0.65,0.69
0.59,0.62,0.67,0.7
0.61,0.65,0.67,0.71
0.58,0.63,0.66,0.7
0.6,0.63,0.65,0.7
0.45,0.63,0.65,0.7
0.61,0.63,0.66,0.71
0.45,0.62,0.66,0.71
0.59,0.63,0.64,0.69
0.59,0.62,0.65,0.68
0.59,0.61,0.64,0.68
0.6,0.62,0.65,0.7
0.59,0.62,0.65,0.7
0.6,0.63,0.67,0.71
0.6,0.64,0.66,0.72
0.6,0.61,0.63,0.68
0.59,0.57,0.65,0.69
0.62,0.64,0.66,0.72
0.59,0.64,0.67,0.71
0.62,0.65,0.67,0.71
0.59,0.62,0.65,0.69
0.6,0.65,0.67,0.71
0.44,0.64,0.67,0.7
0.55,0.59,0.65,0.7
0.6,0.62,0.66,0.7
0.45,0.62,0.65,0.69
0.58,0.62,0.65,0.69
0.6,0.63,0.64,0.7
0.6,0.62,0.65,0.7
0.63,0.62,0.67,0.71
0.6,0.63,0.66,0.71
0.59,0.64,0.68,0.72
0.58,0.61,0.65,0.7
0.58,0.6,0.62,0.69
0.53,0.61,0.64,0.69
0.6,0.63,0.63,0.7
0.59,0.63,0.66,0.71
0.58,0.62,0.65,0.69
0.52,0.59,0.65,0.69
0.6,0.63,0.65,0.7
0.6,0.62,0.65,0.7
0.6,0.62,0.65,0.7
0.55,0.63,0.66,0.71
0.61,0.64,0.67,0.71
0.58,0.61,0.65,0.7
0.6,0.62,0.67,0.71
0.6,0.63,0.65,0.69
0.57,0.61,0.63,0.7
0.59,0.62,0.66,0.7
0.57,0.61,0.64,0.69
0.61,0.64,0.65,0.71
0.58,0.61,0.64,0.7
0.56,0.62,0.65,0.69
0.59,0.62,0.66,0.71
0.62,0.63,0.66,0.69
0.6,0.63,0.65,0.69
0.46,0.6,0.64,0.68
0.57,0.63,0.67,0.7
0.58,0.61,0.64,0.68
0.58,0.62,0.64,0.69
0.59,0.62,0.64,0.69
0.56,0.6,0.66,0.71
0.59,0.62,0.66,0.71
0.61,0.63,0.66,0.7
0.6,0.62,0.65,0.7
0.59,0.61,0.63,0.69
0.56,0.61,0.65,0.7
0.61,0.6,0.64,0.69
0.61,0.63,0.67,0.71
0.56,0.6,0.64,0.69
0.51,0.63,0.64,0.71
0.6,0.62,0.65,0.68
0.54,0.48,0.65,0.69
0.46,0.63,0.65,0.7
0.58,0.62,0.66,0.7
0.61,0.61,0.65,0.71
0.59,0.61,0.64,0.69
0.6,0.61,0.65,0.69
0.6,0.61,0.64,0.69
0.61,0.62,0.64,0.68
0.58,0.6,0.62,0.68
0.61,0.54,0.66,0.7
0.63,0.64,0.63,0.72
0.56,0.59,0.62,0.71
0.58,0.64,0.67,0.71
0.48,0.58,0.65,0.7
0.44,0.65,0.66,0.7
0.58,0.61,0.65,0.69
0.6,0.62,0.65,0.69
0.56,0.63,0.66,0.7
0.58,0.62,0.65,0.7
0.57,0.63,0.66,0.71
0.4,0.52,0.65,0.69
0.59,0.62,0.65,0.69
0.61,0.63,0.66,0.7
0.59,0.62,0.62,0.69
0.56,0.56,0.65,0.72
0.39,0.57,0.64,0.69
0.6,0.64,0.66,0.71
0.6,0.62,0.65,0.69
0.58,0.61,0.64,0.69
0.58,0.62,0.65,0.68
0.62,0.64,0.67,0.71
0.6,0.62,0.65,0.69
0.61,0.62,0.65,0.69
0.6,0.63,0.66,0.7
0.57,0.61,0.65,0.71
0.41,0.61,0.62,0.67
0.59,0.61,0.64,0.68
0.56,0.6,0.64,0.7
0.6,0.63,0.65,0.69
0.62,0.63,0.66,0.7
0.58,0.58,0.64,0.67
0.41,0.6,0.65,0.69
0.59,0.61,0.64,0.68
0.56,0.61,0.64,0.68
0.61,0.63,0.64,0.68
0.6,0.63,0.65,0.71
0.6,0.6,0.65,0.7
0.62,0.64,0.67,0.72
0.58,0.61,0.64,0.69
0.59,0.63,0.66,0.7
0.61,0.6,0.65,0.69
0.5,0.61,0.65,0.71
0.61,0.62,0.65,0.7
0.6,0.61,0.65,0.68
0.61,0.63,0.66,0.7
0.57,0.61,0.64,0.69
0.56,0.61,0.66,0.69
0.59,0.61,0.64,0.68
0.6,0.63,0.67,0.71
0.57,0.53,0.66,0.73
0.59,0.62,0.65,0.67
0.6,0.62,0.65,0.69
0.58,0.53,0.65,0.69
0.59,0.63,0.66,0.7
0.55,0.54,0.64,0.69
0.6,0.63,0.66,0.7
0.57,0.62,0.65,0.68
0.6,0.63,0.66,0.7
0.55,0.6,0.64,0.71
0.46,0.64,0.67,0.71
0.51,0.6,0.64,0.68
0.6,0.64,0.66,0.69
0.48,0.63,0.66,0.69
0.58,0.62,0.61,0.69
0.57,0.6,0.63,0.7
0.58,0.56,0.65,0.7
0.6,0.64,0.67,0.71
0.59,0.58,0.66,0.71
0.58,0.6,0.65,0.69
0.6,0.62,0.63,0.69
0.58,0.62,0.64,0.7
0.56,0.59,0.63,0.68
0.61,0.62,0.65,0.69
0.57,0.61,0.63,0.71
0.55,0.6,0.63,0.69
0.56,0.62,0.64,0.7
0.62,0.55,0.67,0.72
0.57,0.49,0.66,0.7
0.57,0.59,0.63,0.69
0.56,0.6,0.64,0.69
0.6,0.62,0.62,0.73
0.59,0.61,0.65,0.68
0.56,0.59,0.62,0.69
0.6,0.62,0.65,0.69
0.59,0.62,0.65,0.68
0.59,0.63,0.64,0.71
0.6,0.65,0.68,0.74
0.54,0.55,0.66,0.7
0.57,0.62,0.65,0.7
0.59,0.58,0.66,0.69
0.61,0.63,0.66,0.71
0.58,0.6,0.63,0.69
0.6,0.62,0.64,0.69
0.6,0.61,0.65,0.7
0.56,0.58,0.65,0.7
0.57,0.61,0.64,0.69
0.59,0.6,0.66,0.7
0.59,0.64,0.66,0.71
0.59,0.61,0.64,0.67
0.6,0.63,0.66,0.7
0.57,0.56,0.63,0.7
0.59,0.63,0.66,0.71
0.59,0.61,0.63,0.69
0.61,0.62,0.65,0.7
0.59,0.63,0.62,0.68
0.61,0.62,0.65,0.7
0.57,0.61,0.65,0.69
0.59,0.54,0.66,0.7
0.62,0.63,0.65,0.7
0.58,0.62,0.64,0.69
0.59,0.61,0.65,0.69
0.6,0.58,0.64,0.71
0.57,0.61,0.64,0.69
0.62,0.63,0.64,0.71
0.61,0.65,0.67,0.7
0.6,0.62,0.65,0.68
0.6,0.63,0.64,0.7
0.58,0.61,0.66,0.7
0.57,0.59,0.64,0.69
0.56,0.6,0.64,0.69
0.6,0.54,0.65,0.7
0.59,0.6,0.65,0.69
0.59,0.62,0.65,0.68
0.56,0.61,0.64,0.68
0.57,0.61,0.64,0.67
0.56,0.61,0.64,0.68
0.59,0.62,0.63,0.69
0.54,0.62,0.64,0.7
0.6,0.63,0.66,0.69
0.61,0.64,0.67,0.71
0.58,0.61,0.65,0.69
0.6,0.62,0.65,0.69
0.56,0.61,0.66,0.71
0.47,0.61,0.66,0.7
0.6,0.62,0.65,0.71
0.59,0.63,0.63,0.69
0.53,0.62,0.67,0.71
0.58,0.58,0.64,0.69
0.57,0.62,0.66,0.7
0.55,0.61,0.64,0.68
0.53,0.61,0.64,0.69
0.57,0.61,0.63,0.68
0.6,0.63,0.66,0.7
0.6,0.63,0.66,0.71
0.6,0.54,0.66,0.72
0.6,0.62,0.66,0.7
0.57,0.61,0.64,0.68
0.59,0.64,0.67,0.75
0.61,0.63,0.67,0.73
0.56,0.63,0.65,0.7
0.59,0.62,0.65,0.71
0.58,0.55,0.65,0.71
0.59,0.6,0.65,0.69
0.58,0.59,0.64,0.68
0.58,0.61,0.63,0.68
0.58,0.62,0.66,0.73
0.63,0.62,0.63,0.71
0.6,0.64,0.66,0.7
0.56,0.6,0.64,0.68
0.55,0.5,0.63,0.68
0.57,0.61,0.65,0.69
0.59,0.52,0.65,0.69
0.54,0.62,0.64,0.7
0.55,0.52,0.64,0.7
0.57,0.63,0.66,0.71
0.59,0.64,0.66,0.71
0.6,0.63,0.67,0.71
0.62,0.63,0.66,0.69
0.58,0.61,0.64,0.7
0.61,0.64,0.66,0.7
0.56,0.62,0.66,0.72
0.57,0.56,0.63,0.68
0.55,0.58,0.64,0.7
0.59,0.62,0.66,0.7
0.59,0.64,0.66,0.71
0.6,0.61,0.67,0.7
0.61,0.63,0.64,0.7
0.59,0.61,0.65,0.69
0.6,0.6,0.65,0.7
0.61,0.63,0.66,0.7
0.61,0.64,0.66,0.7
0.62,0.63,0.65,0.7
0.6,0.51,0.65,0.7
0.58,0.58,0.64,0.69
0.54,0.6,0.64,0.7
0.6,0.63,0.66,0.71
0.6,0.62,0.66,0.71
0.57,0.61,0.66,0.71
0.58,0.62,0.65,0.69
0.61,0.64,0.65,0.69
0.58,0.61,0.65,0.69
0.53,0.62,0.65,0.68
0.57,0.6,0.62,0.66
0.55,0.61,0.64,0.68
0.61,0.62,0.67,0.71
0.59,0.6,0.63,0.7
0.56,0.59,0.64,0.69
0.56,0.53,0.64,0.67
0.55,0.62,0.66,0.71
0.55,0.62,0.63,0.7
0.6,0.62,0.64,0.7
0.62,0.64,0.66,0.72
0.59,0.62,0.65,0.69
0.64,0.65,0.68,0.72
0.58,0.63,0.67,0.71
0.58,0.61,0.67,0.71
0.58,0.61,0.64,0.68
0.58,0.61,0.63,0.67
0.59,0.61,0.66,0.7
0.56,0.52,0.65,0.69
0.6,0.53,0.65,0.69
0.6,0.61,0.64,0.68
0.56,0.61,0.64,0.69
0.6,0.62,0.65,0.72
0.63,0.62,0.66,0.73
0.58,0.62,0.64,0.69
0.57,0.6,0.64,0.7
0.6,0.62,0.65,0.7
0.62,0.63,0.66,0.71
0.59,0.63,0.66,0.7
0.59,0.61,0.65,0.69
0.58,0.62,0.65,0.69
0.61,0.63,0.65,0.7
0.58,0.6,0.63,0.68
0.57,0.61,0.64,0.69
0.58,0.61,0.65,0.7
0.5,0.63,0.66,0.7
0.61,0.64,0.66,0.7
0.59,0.54,0.64,0.69
0.57,0.58,0.65,0.69
0.58,0.6,0.62,0.67
0.59,0.62,0.65,0.7
0.57,0.6,0.63,0.68
0.62,0.63,0.66,0.71
0.59,0.58,0.64,0.7
0.56,0.62,0.65,0.68
0.59,0.63,0.65,0.7
0.59,0.61,0.64,0.68
0.39,0.64,0.67,0.71
0.61,0.61,0.66,0.69
0.58,0.6,0.64,0.69
0.58,0.62,0.64,0.69
0.59,0.62,0.65,0.71
0.6,0.61,0.65,0.69
0.59,0.63,0.67,0.72
0.56,0.61,0.65,0.7
0.58,0.61,0.65,0.71
0.59,0.62,0.64,0.7
0.6,0.63,0.65,0.69
0.59,0.62,0.65,0.69
0.59,0.61,0.65,0.7
0.58,0.62,0.62,0.7
0.58,0.6,0.65,0.69
0.59,0.62,0.64,0.68
0.61,0.63,0.64,0.7
0.57,0.61,0.64,0.69
0.62,0.64,0.67,0.7
0.6,0.56,0.65,0.72
0.59,0.61,0.63,0.69
0.6,0.63,0.65,0.69
0.58,0.62,0.65,0.7
0.61,0.63,0.66,0.7
0.61,0.61,0.63,0.68
0.52,0.63,0.65,0.68
0.57,0.62,0.67,0.73
0.56,0.61,0.65,0.69
0.58,0.63,0.66,0.7
0.6,0.53,0.67,0.71
0.59,0.59,0.65,0.69
0.58,0.62,0.65,0.68
0.55,0.59,0.65,0.7
0.56,0.63,0.66,0.7
0.63,0.64,0.66,0.71
0.49,0.62,0.66,0.7
0.56,0.63,0.66,0.69
0.53,0.61,0.64,0.68
0.56,0.62,0.65,0.7
0.56,0.59,0.65,0.69
0.58,0.62,0.66,0.69
0.61,0.62,0.64,0.7
0.59,0.61,0.66,0.7
0.61,0.51,0.65,0.69
0.58,0.62,0.64,0.68
0.59,0.63,0.66,0.69
